nome;data_nascimento;area;posicao;formacao;genero;lider;qtd_liderados;custo_mensal
Bruna Campos;14/06/1992;Financeiro;Assistente;Ensino Médio;Feminino;1;22;16872
João Felipe Viana;21/11/1990;Produção;Diretor;Tecnólogo;Masculino;0;0;18409
Dr. Samuel Freitas;02/04/1989;RH;Assistente;Fundamental;Feminino;0;0;14094
Sr. Lucas Aragão;15/08/1999;RH;C-level;Tecnólogo;Masculino;0;0;19523
Bruno da Rocha;15/02/1999;Logística;C-level;Mestrado;Masculino;1;48;14837
João Pedro Novaes;27/10/1983;Produção;Diretor;Tecnólogo;Feminino;1;5;9336
Eduarda da Conceição;30/09/1996;TI;Diretor;Doutorado;Feminino;1;42;19974
Lorena Aragão;17/10/2006;Produção;Assistente;Fundamental;Feminino;0;0;16525
Dra. Júlia Fogaça;23/09/1999;RH;C-level;Tecnólogo;Feminino;1;31;18050
Ana Júlia da Luz;05/08/1977;Logística;Estagiário;Tecnólogo;Masculino;0;0;8597
Gabrielly Nascimento;27/02/2002;Produção;Diretor;Doutorado;Feminino;0;0;5873
Alexia Rodrigues;21/04/2000;Vendas;Estagiário;Ensino Médio;Feminino;0;0;14605
Marcos Vinicius Caldeira;04/02/2003;Jurídico;C-level;Graduação;Feminino;0;0;12417
Ana Sophia Alves;15/10/1984;Operações;C-level;Doutorado;Masculino;0;0;4556
Luiza Moraes;14/09/1970;Marketing;Gerente;Fundamental;Feminino;0;0;15351
Dr. Pedro Henrique Cavalcanti;06/03/1981;Produção;Analista;Tecnólogo;Masculino;0;0;11528
Enrico Moura;25/09/2005;Logística;Gerente;Tecnólogo;Masculino;0;0;15516
Lucca Moura;15/09/1985;Produção;Coordenador;Ensino Médio;Masculino;0;0;19384
Milena Cunha;07/09/1979;Produção;Analista;Fundamental;Feminino;1;45;17925
Caroline Rodrigues;04/05/1960;Logística;Assistente;Fundamental;Masculino;0;0;19405
Isabelly Oliveira;04/01/1961;Jurídico;Estagiário;Tecnólogo;Masculino;0;0;16308
Augusto Correia;07/05/1979;Operações;C-level;Tecnólogo;Masculino;0;0;18579
Alana Viana;23/07/1986;RH;Assistente;Mestrado;Feminino;0;0;17812
João Alves;01/04/1978;TI;Coordenador;Mestrado;Feminino;1;30;6958
Isabelly Correia;05/10/1975;RH;C-level;Doutorado;Feminino;0;0;17768
Srta. Stella Azevedo;27/12/1983;Logística;C-level;Doutorado;Masculino;0;0;18732
Dr. Bruno Melo;30/08/1972;Vendas;Gerente;Fundamental;Feminino;0;0;16746
Gabriela Fernandes;01/02/1986;Produção;Analista;Ensino Médio;Feminino;1;16;12007
Noah Rodrigues;27/09/1963;Logística;Gerente;Graduação;Masculino;0;0;10051
Daniel Oliveira;09/09/1964;Logística;Diretor;Mestrado;Masculino;0;0;5631
Carolina Ferreira;28/09/1998;Operações;Gerente;Mestrado;Masculino;0;0;2626
Maria Sophia Barbosa;21/08/1986;Vendas;Assistente;Tecnólogo;Feminino;0;0;16869
Maria Eduarda da Luz;12/05/2007;Financeiro;Coordenador;Ensino Médio;Masculino;0;0;19490
Pietro Cunha;10/10/1992;Logística;Assistente;Mestrado;Masculino;0;0;6402
Joaquim Fogaça;29/05/1961;Jurídico;Diretor;Mestrado;Feminino;0;0;13940
Dr. Luiz Fernando Silveira;13/08/2001;RH;Diretor;Graduação;Feminino;1;21;12091
Benício Ferreira;18/05/1994;RH;Coordenador;Mestrado;Masculino;1;43;6026
Davi Luiz Campos;14/03/1965;Financeiro;Estagiário;Fundamental;Masculino;0;0;6746
Sophie Cardoso;06/10/2000;Vendas;Diretor;Doutorado;Feminino;0;0;13552
Helena Jesus;29/01/1960;Jurídico;Assistente;Ensino Médio;Feminino;1;44;18732
Isis Farias;07/02/1983;Produção;Gerente;Fundamental;Masculino;1;37;16238
Daniela Nunes;07/07/1995;RH;Diretor;Ensino Médio;Masculino;0;0;10713
Breno Freitas;26/01/1968;RH;Analista;Tecnólogo;Feminino;0;0;14722
Ana Julia Ramos;25/12/2006;Marketing;Analista;Tecnólogo;Feminino;0;0;15279
Maria Eduarda Souza;08/06/1997;TI;C-level;Doutorado;Feminino;0;0;9741
Sra. Eduarda Aragão;23/03/2001;Vendas;Analista;Doutorado;Feminino;0;0;14284
Dra. Maria Costa;16/10/1976;Logística;Analista;Tecnólogo;Masculino;0;0;11419
Eduarda Alves;03/06/1970;Vendas;Assistente;Graduação;Feminino;1;7;7728
Benjamin Sales;05/07/1980;Marketing;Analista;Graduação;Masculino;1;36;2675
Augusto da Rocha;20/08/1964;Jurídico;Estagiário;Doutorado;Masculino;0;0;13000
Augusto Ramos;09/12/2005;Marketing;Gerente;Fundamental;Feminino;1;32;6868
Maria Clara da Costa;30/04/2005;Operações;C-level;Fundamental;Masculino;0;0;4299
Dr. Guilherme Jesus;30/09/2002;Logística;Assistente;Mestrado;Feminino;0;0;19465
Olivia Moura;27/03/2005;RH;C-level;Graduação;Masculino;0;0;5353
Sarah Cavalcanti;06/11/1994;Marketing;C-level;Fundamental;Masculino;0;0;11824
Bárbara Nogueira;05/06/1976;Produção;Assistente;Mestrado;Feminino;0;0;7498
Ana Clara Ribeiro;10/02/1994;Operações;Estagiário;Ensino Médio;Feminino;0;0;14331
Sra. Isabella Moura;09/02/1971;RH;C-level;Tecnólogo;Masculino;0;0;6918
Matheus Nunes;19/05/1966;Vendas;Analista;Mestrado;Masculino;0;0;6424
Leandro da Mata;18/06/1990;TI;C-level;Mestrado;Masculino;0;0;11672
Davi Lucca Pinto;25/05/1993;Financeiro;Coordenador;Fundamental;Feminino;0;0;19296
Gabrielly Lopes;14/10/1996;Vendas;Analista;Tecnólogo;Feminino;0;0;3445
Manuela Lima;15/04/1961;Operações;Analista;Mestrado;Masculino;0;0;7936
Pedro Duarte;24/08/1980;TI;Assistente;Mestrado;Masculino;0;0;17559
Milena Fernandes;11/07/1989;TI;Diretor;Doutorado;Masculino;0;0;8585
Pedro Henrique Mendes;02/06/1981;Marketing;Estagiário;Fundamental;Masculino;0;0;17380
Marcos Vinicius Cardoso;06/02/1996;Financeiro;Analista;Doutorado;Masculino;0;0;5903
Luiz Otávio Vieira;04/02/1993;Jurídico;Estagiário;Doutorado;Masculino;0;0;7991
Sr. Gustavo Henrique Sales;10/09/1993;Logística;C-level;Doutorado;Feminino;1;13;16582
Caio Silva;14/01/1994;Logística;Diretor;Fundamental;Feminino;0;0;18748
Melissa Rodrigues;01/06/1980;Marketing;Estagiário;Graduação;Feminino;1;32;9772
Ana Clara Viana;16/11/1949;Logística;Coordenador;Graduação;Feminino;0;0;19499
Luiza Moreira;19/07/1981;Operações;C-level;Ensino Médio;Feminino;0;0;17723
Ana Beatriz Rezende;01/11/1989;Jurídico;Diretor;Ensino Médio;Masculino;0;0;19887
Bruno Martins;07/05/2001;Produção;Coordenador;Doutorado;Masculino;0;0;2075
Cauê Silveira;28/01/1980;Operações;Estagiário;Doutorado;Masculino;0;0;17668
Julia da Conceição;18/11/1989;Marketing;Analista;Tecnólogo;Feminino;0;0;3882
Vitor Hugo Nogueira;22/02/1984;Produção;Analista;Doutorado;Masculino;0;0;2640
Yago Costela;22/11/1996;Financeiro;Gerente;Doutorado;Masculino;0;0;19962
Lorena Moraes;10/11/1961;Jurídico;Analista;Fundamental;Masculino;0;0;5278
Bryan Rocha;10/02/1971;Vendas;Estagiário;Tecnólogo;Masculino;0;0;12096
Sr. Luiz Miguel Melo;24/09/1987;Jurídico;C-level;Ensino Médio;Masculino;0;0;14390
Rebeca da Mota;05/11/1997;Operações;C-level;Mestrado;Masculino;1;18;4215
Pedro Miguel Sales;12/10/1989;Vendas;Coordenador;Fundamental;Masculino;0;0;9077
Melissa Oliveira;09/07/2001;TI;Estagiário;Mestrado;Masculino;0;0;16012
Alexia Duarte;15/09/1997;Jurídico;Assistente;Graduação;Feminino;0;0;7128
Carlos Eduardo Martins;26/06/1976;Logística;Estagiário;Graduação;Feminino;0;0;14734
Maria Julia Cavalcanti;21/01/1973;Operações;Assistente;Tecnólogo;Feminino;0;0;5145
Alice Porto;14/05/1973;RH;Coordenador;Ensino Médio;Feminino;0;0;10365
Danilo Martins;04/07/1990;Financeiro;Estagiário;Ensino Médio;Feminino;1;14;5216
Arthur das Neves;14/03/1999;Financeiro;Analista;Graduação;Masculino;0;0;9747
Cauê Cardoso;03/01/1991;Financeiro;C-level;Mestrado;Masculino;0;0;9148
Dra. Alexia Vieira;14/01/1961;Jurídico;Assistente;Ensino Médio;Feminino;0;0;5380
Heitor Carvalho;07/02/1978;TI;Analista;Mestrado;Feminino;1;21;15464
Julia Carvalho;27/06/2001;Vendas;Coordenador;Tecnólogo;Masculino;0;0;7749
Theo da Rocha;16/09/1972;RH;Analista;Tecnólogo;Masculino;0;0;18174
Murilo Carvalho;24/08/1973;Vendas;Analista;Tecnólogo;Masculino;0;0;16188
Maria Sophia Cardoso;09/01/1995;Financeiro;Coordenador;Doutorado;Feminino;0;0;18375
Srta. Milena Freitas;17/11/1981;TI;Coordenador;Mestrado;Masculino;0;0;17628
Bernardo Pires;22/11/1975;RH;Assistente;Doutorado;Feminino;0;0;4423
Davi da Rocha;31/12/1995;TI;Assistente;Ensino Médio;Feminino;0;0;12228
Dra. Maria Vitória Pires;11/05/1980;Vendas;Analista;Ensino Médio;Feminino;0;0;8735
Juliana Porto;29/03/1995;RH;Coordenador;Graduação;Feminino;1;2;15308
Sr. Alexandre Gonçalves;01/12/1968;RH;Gerente;Fundamental;Feminino;0;0;8567
Luana da Paz;10/05/1985;Produção;Coordenador;Ensino Médio;Feminino;0;0;13957
Maitê Viana;09/05/1990;RH;Diretor;Graduação;Masculino;1;25;16366
Ian Lopes;21/02/1986;Logística;Diretor;Mestrado;Feminino;0;0;14408
Renan Moura;29/07/2000;Jurídico;Assistente;Fundamental;Masculino;0;0;2665
Evelyn Moraes;05/10/1998;Vendas;Estagiário;Fundamental;Masculino;1;7;3009
Cauê Ferreira;04/11/1970;Financeiro;Coordenador;Ensino Médio;Feminino;0;0;12340
Ana Carolina Santos;30/04/1999;RH;Gerente;Graduação;Masculino;1;25;17456
Larissa Fernandes;11/12/1972;Produção;C-level;Ensino Médio;Masculino;1;17;16355
Bruna Duarte;27/04/1990;Produção;Analista;Graduação;Masculino;0;0;17578
Pedro Lucas Rezende;21/07/1978;TI;Assistente;Graduação;Masculino;0;0;2347
Pedro da Rocha;21/07/1997;Produção;Estagiário;Mestrado;Masculino;0;0;6554
Bryan Nunes;28/07/1965;TI;Estagiário;Tecnólogo;Masculino;1;34;4565
Bruna Novaes;16/09/1990;Marketing;Analista;Tecnólogo;Feminino;1;48;15467
Theo Teixeira;04/01/1995;RH;C-level;Mestrado;Feminino;0;0;8286
Ana Julia Silveira;16/08/1969;Produção;Gerente;Ensino Médio;Masculino;0;0;12036
Carolina da Rosa;21/09/1992;Logística;Estagiário;Fundamental;Masculino;0;0;5195
João Vitor Silva;26/05/1983;Marketing;Gerente;Doutorado;Feminino;0;0;2960
Laís Sales;06/03/2007;RH;Estagiário;Ensino Médio;Feminino;0;0;5488
Enzo Gabriel Ramos;27/06/1963;Vendas;Analista;Doutorado;Masculino;0;0;18472
João Lucas Gomes;12/07/1983;Produção;Assistente;Doutorado;Feminino;1;40;12212
Mariane Araújo;16/10/1986;Produção;Diretor;Mestrado;Feminino;0;0;18565
Vicente Freitas;23/12/1949;TI;Coordenador;Graduação;Feminino;0;0;11965
João Felipe Gomes;19/08/2003;Logística;Assistente;Mestrado;Masculino;1;47;16057
Felipe Ramos;23/10/1970;Financeiro;Analista;Tecnólogo;Masculino;0;0;4389
Emanuel da Mota;09/09/1980;RH;Estagiário;Fundamental;Masculino;0;0;8970
Maria Luiza Nascimento;23/11/1962;Produção;Assistente;Ensino Médio;Masculino;0;0;17538
Nicole da Rosa;13/07/1969;Marketing;Coordenador;Graduação;Feminino;0;0;11901
Dr. Bruno Silveira;06/05/1995;Operações;Gerente;Mestrado;Masculino;0;0;7952
Sabrina da Cunha;06/11/1967;TI;Coordenador;Doutorado;Feminino;0;0;12511
Bernardo Fogaça;31/01/1960;Financeiro;C-level;Ensino Médio;Feminino;0;0;10642
Matheus Jesus;15/09/1962;Jurídico;Gerente;Ensino Médio;Masculino;0;0;19726
Alícia da Cruz;30/11/1999;RH;Diretor;Mestrado;Masculino;0;0;13672
Rebeca Moreira;07/07/2005;Marketing;C-level;Fundamental;Masculino;1;17;13353
Dr. Erick Campos;24/07/1997;Financeiro;Analista;Doutorado;Masculino;1;18;17928
Júlia Porto;15/04/1976;Operações;Diretor;Fundamental;Masculino;1;23;7008
Nathan Rodrigues;21/08/1997;Produção;Diretor;Graduação;Masculino;1;47;18066
Marcela Santos;14/11/1960;TI;Analista;Fundamental;Masculino;1;14;16754
Júlia Gomes;20/07/1996;Operações;C-level;Tecnólogo;Masculino;0;0;8965
Miguel Lima;07/04/1970;Marketing;Coordenador;Fundamental;Masculino;0;0;17887
Ana Laura Azevedo;13/01/1989;Produção;Estagiário;Graduação;Feminino;0;0;14327
Emanuella Ramos;17/06/1960;Produção;C-level;Tecnólogo;Feminino;0;0;3018
Marcelo Novaes;21/07/2000;Vendas;Assistente;Ensino Médio;Feminino;0;0;4037
João Guilherme Barros;02/05/1981;TI;Gerente;Doutorado;Masculino;1;10;18745
Emanuelly Souza;30/11/1984;Jurídico;C-level;Fundamental;Masculino;0;0;16392
Ana Vitória da Mata;08/09/2003;RH;Coordenador;Graduação;Feminino;1;30;18364
Júlia Santos;25/07/2000;Vendas;Gerente;Graduação;Feminino;0;0;10930
Júlia Farias;17/09/1981;Logística;Assistente;Doutorado;Feminino;1;31;2240
Milena Cardoso;23/09/1960;RH;Estagiário;Tecnólogo;Masculino;1;3;3053
Carolina da Cruz;26/12/1966;Jurídico;Assistente;Mestrado;Feminino;0;0;8730
Rafael da Cruz;03/09/1962;Vendas;Analista;Ensino Médio;Masculino;0;0;18583
Caio Ramos;09/05/2006;Jurídico;Coordenador;Graduação;Masculino;0;0;10787
Marcelo Cardoso;11/07/1985;Logística;Assistente;Mestrado;Masculino;0;0;3965
Enzo Silva;22/05/2007;TI;C-level;Tecnólogo;Masculino;0;0;11528
Fernando Freitas;20/10/1949;Financeiro;Assistente;Mestrado;Feminino;0;0;15473
Nicole Gomes;11/12/1962;Vendas;Estagiário;Fundamental;Masculino;0;0;15033
João Gabriel Silveira;16/03/1965;TI;C-level;Tecnólogo;Masculino;0;0;16806
Alexia Moreira;18/04/1979;Financeiro;Analista;Graduação;Masculino;0;0;12100
Davi Luiz Duarte;11/01/1979;Operações;Assistente;Fundamental;Masculino;0;0;16900
Ana Beatriz Lopes;17/04/1979;Jurídico;Coordenador;Mestrado;Feminino;0;0;10904
João Miguel Fogaça;27/01/1994;TI;Coordenador;Mestrado;Masculino;1;15;15243
Cauã Pereira;21/06/1966;Produção;Diretor;Doutorado;Masculino;0;0;6568
Srta. Ana Júlia da Mota;18/12/1977;Operações;Assistente;Tecnólogo;Masculino;0;0;19530
Juliana Souza;03/04/1976;RH;Coordenador;Doutorado;Masculino;0;0;4285
Maria Luiza Moreira;22/03/2005;TI;Analista;Graduação;Feminino;0;0;12936
Juan Nogueira;06/06/2006;Operações;Gerente;Ensino Médio;Masculino;0;0;11939
Gustavo Henrique da Luz;20/10/1986;Marketing;C-level;Fundamental;Feminino;0;0;8579
Levi Freitas;11/05/1974;Marketing;C-level;Doutorado;Masculino;1;18;3566
Leonardo Almeida;05/02/2002;Operações;Assistente;Fundamental;Masculino;1;15;15824
Marcelo Nascimento;27/11/1995;Operações;Estagiário;Fundamental;Masculino;0;0;11623
Isabelly Moreira;12/07/1987;Marketing;Analista;Graduação;Feminino;0;0;2656
Sr. Levi Moraes;17/04/1962;Logística;Coordenador;Mestrado;Feminino;0;0;15951
Rebeca da Conceição;10/09/1979;Operações;Assistente;Tecnólogo;Feminino;1;37;4141
Luiz Miguel da Mota;02/03/1990;TI;Analista;Tecnólogo;Masculino;0;0;10022
Lorenzo Pires;13/05/1992;Vendas;Assistente;Ensino Médio;Masculino;0;0;2915
Letícia Castro;03/11/1975;TI;Estagiário;Fundamental;Feminino;0;0;3933
Srta. Maria Vitória Dias;07/11/1997;Financeiro;Analista;Tecnólogo;Feminino;0;0;15876
Lorenzo das Neves;30/04/1962;Operações;Coordenador;Doutorado;Masculino;0;0;3106
Antônio Ramos;23/10/2000;Produção;Assistente;Tecnólogo;Feminino;0;0;19428
Maria Sophia Rezende;18/08/1980;Jurídico;Coordenador;Ensino Médio;Feminino;0;0;6194
Amanda Santos;07/04/1978;Financeiro;Analista;Mestrado;Feminino;0;0;3850
Valentina Duarte;14/07/1973;RH;Assistente;Tecnólogo;Feminino;1;41;18649
Maria Sophia da Cunha;22/03/1973;TI;Analista;Doutorado;Masculino;0;0;14484
Guilherme Viana;14/07/1980;Logística;Gerente;Doutorado;Feminino;0;0;6005
Antônio Viana;21/03/1966;Jurídico;Assistente;Tecnólogo;Masculino;0;0;15490
Gabriela Alves;30/05/1977;Logística;Analista;Tecnólogo;Masculino;0;0;5973
Sra. Ana Sophia Farias;01/06/1989;Produção;Assistente;Fundamental;Masculino;0;0;8945
Pedro Lucas da Cunha;21/10/1983;Operações;C-level;Graduação;Feminino;0;0;7807
Marina Alves;10/04/1973;Logística;Assistente;Mestrado;Masculino;0;0;5903
Valentina da Conceição;20/08/1967;Logística;Coordenador;Ensino Médio;Masculino;0;0;9237
Lívia Duarte;17/06/1975;Produção;Analista;Doutorado;Masculino;0;0;7397
Enrico Cunha;03/10/2005;Produção;Coordenador;Graduação;Masculino;0;0;19745
Henrique da Mata;12/09/1976;TI;Assistente;Graduação;Feminino;0;0;8221
Ana Sophia Moreira;17/12/1991;Vendas;C-level;Mestrado;Feminino;0;0;4077
Milena Moreira;04/06/1994;Jurídico;Diretor;Mestrado;Masculino;0;0;11449
Luiza Aragão;22/07/1995;Financeiro;Coordenador;Fundamental;Feminino;0;0;16872
Alana Farias;01/11/1980;Produção;Gerente;Fundamental;Feminino;1;22;16501
Danilo Melo;23/09/1995;Produção;Gerente;Fundamental;Masculino;1;4;11289
Sra. Julia Freitas;08/02/1975;Vendas;Estagiário;Ensino Médio;Feminino;0;0;4275
